epochs           90
ckpt_save_interval 2
workers          4
mode             train
ckpt             None
net              pointnet2_msg
lr               0.0001
lr_decay         0.2
lr_clip          1e-06
decay_step_list  [50, 70, 80, 90]
weight_decay     0.001
output_dir       output
extra_tag        default
num_points       4096
use_sgd          False
batch_size       16
===============TRAIN EPOCH 1================
training epoch 1: it=75/232, total_it=76, loss=0.79622, fg_iou=0.252, accuracy=0.902, lr=0.000100
training epoch 1: it=76/232, total_it=77, loss=0.79635, fg_iou=0.261, accuracy=0.922, lr=0.000100
training epoch 1: it=77/232, total_it=78, loss=0.74825, fg_iou=0.309, accuracy=0.908, lr=0.000100
training epoch 1: it=78/232, total_it=79, loss=0.71001, fg_iou=0.374, accuracy=0.919, lr=0.000100
training epoch 1: it=79/232, total_it=80, loss=0.68107, fg_iou=0.420, accuracy=0.927, lr=0.000100
training epoch 1: it=80/232, total_it=81, loss=0.65564, fg_iou=0.414, accuracy=0.917, lr=0.000100
training epoch 1: it=81/232, total_it=82, loss=0.68563, fg_iou=0.399, accuracy=0.934, lr=0.000100
training epoch 1: it=82/232, total_it=83, loss=0.75133, fg_iou=0.303, accuracy=0.917, lr=0.000100
training epoch 1: it=83/232, total_it=84, loss=0.67395, fg_iou=0.398, accuracy=0.917, lr=0.000100
training epoch 1: it=84/232, total_it=85, loss=0.57191, fg_iou=0.542, accuracy=0.945, lr=0.000100
training epoch 1: it=85/232, total_it=86, loss=0.63917, fg_iou=0.418, accuracy=0.912, lr=0.000100
training epoch 1: it=86/232, total_it=87, loss=0.69880, fg_iou=0.381, accuracy=0.932, lr=0.000100
training epoch 1: it=87/232, total_it=88, loss=0.60245, fg_iou=0.458, accuracy=0.908, lr=0.000100
training epoch 1: it=88/232, total_it=89, loss=0.70991, fg_iou=0.405, accuracy=0.940, lr=0.000100
training epoch 1: it=89/232, total_it=90, loss=0.67788, fg_iou=0.403, accuracy=0.939, lr=0.000100
training epoch 1: it=90/232, total_it=91, loss=0.69589, fg_iou=0.367, accuracy=0.921, lr=0.000100
training epoch 1: it=91/232, total_it=92, loss=0.65115, fg_iou=0.422, accuracy=0.929, lr=0.000100
training epoch 1: it=92/232, total_it=93, loss=0.64411, fg_iou=0.472, accuracy=0.943, lr=0.000100
training epoch 1: it=93/232, total_it=94, loss=0.48207, fg_iou=0.630, accuracy=0.950, lr=0.000100
training epoch 1: it=94/232, total_it=95, loss=0.70364, fg_iou=0.399, accuracy=0.945, lr=0.000100
training epoch 1: it=95/232, total_it=96, loss=0.52354, fg_iou=0.565, accuracy=0.931, lr=0.000100
training epoch 1: it=96/232, total_it=97, loss=0.68130, fg_iou=0.397, accuracy=0.935, lr=0.000100
training epoch 1: it=97/232, total_it=98, loss=0.48409, fg_iou=0.557, accuracy=0.929, lr=0.000100
training epoch 1: it=98/232, total_it=99, loss=0.50740, fg_iou=0.573, accuracy=0.932, lr=0.000100
training epoch 1: it=99/232, total_it=100, loss=0.60005, fg_iou=0.454, accuracy=0.928, lr=0.000100
training epoch 1: it=100/232, total_it=101, loss=0.68208, fg_iou=0.375, accuracy=0.922, lr=0.000100
